imsi|timeid|ibmaaf_bytestotal_by_cell_sitename|ibmaaf_bytestotal_by_application|dt|sgm
272211221122000|20170606000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706060000|0
272211221122001|20170606000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706060000|0
272211221122000|20170607000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706070000|0
272211221122001|20170607000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706070000|0
272211221122000|20170608000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706080000|0
272211221122001|20170608000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706080000|0
272211221122000|20170609000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706090000|0
272211221122001|20170609000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706090000|0
272211221122000|20170610000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706100000|0
272211221122001|20170610000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706100000|0
272211221122000|20170611000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706110000|0
272211221122001|20170611000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706110000|0
272211221122000|20170612000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706120000|0
272211221122001|20170612000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706120000|0
272211221122000|20170613000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706130000|0
272211221122001|20170613000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706130000|0
272211221122000|20170614000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706140000|0
272211221122001|20170614000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706140000|0
272211221122000|20170615000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706150000|0
272211221122001|20170615000000|{"metricId":"ibmaaf_bytestotal_by_cell_sitename","counters":[{"breakdown":"Belt Line Road","value":[3435.411]},{"breakdown":"Las Colinas","value":[2145.929]},{"breakdown":"Irving Valley","value":[1010.415]},{"breakdown":"Ranch","value":[971.923]},{"breakdown":"Market Center","value":[837.201]},{"breakdown":"West Dallas","value":[721.725]},{"breakdown":"Cockrell Hill","value":[500.396]}]}|{"metricId":"ibmaaf_bytestotal_by_application","counters":[{"breakdown":"Instagram","value":[137.777]},{"breakdown":"Youtube","value":[85.645]},{"breakdown":"Facebook","value":[50.833]},{"breakdown":"SnapChat","value":[43.785]},{"breakdown":"Google","value":[41.860]},{"breakdown":"Skype","value":[32.863]},{"breakdown":"WhatsApp Calls","value":[27.762]},{"breakdown":"WhatsApp","value":[27.426]},{"breakdown":"Twitter","value":[18.284]},{"breakdown":"Other","value":[14.916]}]}|201706150000|0
