IMSI|Location|Affinity|Service Usage Profile
123456700000262|Liffey Valley|Work|High SMS - Low Data
123456700000263|Dundrum|Leisure|Average User
123456700000264|Swords Pavillion|Work|High SMS - Low Data
123456700000265|Blanchardstown|Work|Average User
123456700000266|Swords Pavillion|Work|Low Usage Overall
123456700000267|Liffey Valley|Leisure|High Voice
123456700000268|Swords Pavillion|Leisure|Low Usage Overall
123456700000269|Dundrum|Leisure|Big Data
123456700000270|Blanchardstown|Leisure|High Voice & SMS
123456700000271|Liffey Valley|Home|Average User
123456700000272|Swords Pavillion|Work|Low Usage Overall
123456700000273|Liffey Valley|Work|High Voice & SMS
123456700000274|Dundrum|Work|Average User
123456700000275|Liffey Valley|Work|High SMS - Low Data
123456700000276|Blanchardstown|Home|High SMS - Low Data
123456700000277|Swords Pavillion|Leisure|Big Data
123456700000278|Blanchardstown|Work|Low Usage Overall
123456700000279|Blanchardstown|Home|High Voice
123456700000280|Liffey Valley|Leisure|Average User
123456700000281|Blanchardstown|Leisure|High Voice & SMS
123456700000282|Liffey Valley|Work|High Voice & SMS
123456700000283|Liffey Valley|Work|Low Usage Overall
123456700000284|Swords Pavillion|Home|High SMS - Low Data
123456700000285|Blanchardstown|Home|Low Usage Overall
123456700000286|Liffey Valley|Work|Average User
123456700000287|Liffey Valley|Home|High Voice
123456700000288|Blanchardstown|Home|High SMS - Low Data
123456700000289|Swords Pavillion|Leisure|Low Usage Overall
123456700000290|Liffey Valley|Leisure|Low Usage Overall
123456700000291|Dundrum|Work|Average User
123456700000292|Dundrum|Home|High SMS - Low Data
123456700000293|Liffey Valley|Leisure|High Voice
123456700000294|Liffey Valley|Work|High Voice & SMS
123456700000295|Blanchardstown|Work|Big Data
123456700000296|Swords Pavillion|Leisure|High Voice & SMS
123456700000297|Liffey Valley|Leisure|Big Data
123456700000298|Liffey Valley|Home|Big Data
123456700000299|Dundrum|Leisure|Low Usage Overall
123456700000300|Liffey Valley|Work|Big Data
123456700000301|Dundrum|Leisure|High Voice & SMS
123456700000302|Dundrum|Home|High SMS - Low Data
123456700000303|Swords Pavillion|Work|Average User
123456700000304|Dundrum|Home|Low Usage Overall
123456700000305|Swords Pavillion|Work|High Voice
123456700000306|Swords Pavillion|Leisure|High SMS - Low Data
123456700000307|Liffey Valley|Home|Big Data
123456700000308|Dundrum|Home|High SMS - Low Data
123456700000309|Liffey Valley|Work|High SMS - Low Data
123456700000310|Dundrum|Home|High Voice & SMS
123456700000311|Blanchardstown|Leisure|High Voice
123456700000312|Dundrum|Work|Average User
123456700000313|Dundrum|Leisure|High Voice
123456700000314|Liffey Valley|Home|Average User
123456700000315|Liffey Valley|Leisure|High Voice
123456700000316|Dundrum|Home|Low Usage Overall
123456700000317|Blanchardstown|Leisure|Low Usage Overall
123456700000318|Swords Pavillion|Leisure|Low Usage Overall
123456700000319|Dundrum|Home|High SMS - Low Data
123456700000320|Blanchardstown|Home|High SMS - Low Data
123456700000321|Swords Pavillion|Work|High SMS - Low Data
123456700000322|Dundrum|Work|Average User
123456700000323|Swords Pavillion|Home|Low Usage Overall
123456700000324|Dundrum|Leisure|Average User
123456700000325|Swords Pavillion|Leisure|Low Usage Overall
123456700000326|Blanchardstown|Leisure|High Voice
123456700000327|Liffey Valley|Home|High Voice
123456700000328|Blanchardstown|Work|High SMS - Low Data
123456700000329|Swords Pavillion|Work|Average User
123456700000330|Dundrum|Leisure|Low Usage Overall
123456700000331|Dundrum|Work|High Voice & SMS
123456700000332|Liffey Valley|Home|Big Data
123456700000333|Dundrum|Work|Average User
123456700000334|Swords Pavillion|Leisure|High Voice & SMS
123456700000335|Liffey Valley|Home|Average User
123456700000336|Liffey Valley|Leisure|Average User
123456700000337|Liffey Valley|Home|Low Usage Overall
123456700000338|Blanchardstown|Work|High SMS - Low Data
123456700000339|Dundrum|Home|High Voice
123456700000340|Dundrum|Work|High Voice & SMS
123456700000341|Blanchardstown|Leisure|High Voice
123456700000342|Blanchardstown|Home|Average User
123456700000343|Dundrum|Work|Big Data
123456700000344|Swords Pavillion|Work|High Voice
123456700000345|Liffey Valley|Leisure|High SMS - Low Data
123456700000346|Blanchardstown|Leisure|High SMS - Low Data
123456700000347|Liffey Valley|Leisure|High Voice & SMS
123456700000348|Liffey Valley|Work|High SMS - Low Data
123456700000349|Swords Pavillion|Leisure|High Voice
123456700000350|Dundrum|Leisure|Average User
123456700000351|Swords Pavillion|Work|High SMS - Low Data
123456700000352|Liffey Valley|Work|High Voice & SMS
123456700000353|Dundrum|Work|Big Data
123456700000354|Liffey Valley|Work|Low Usage Overall
123456700000355|Liffey Valley|Home|High Voice & SMS
123456700000356|Swords Pavillion|Work|High SMS - Low Data
123456700000357|Blanchardstown|Work|Average User
123456700000358|Liffey Valley|Home|High Voice & SMS
123456700000359|Dundrum|Home|High Voice & SMS
123456700000360|Swords Pavillion|Leisure|Low Usage Overall
123456700000361|Liffey Valley|Leisure|High Voice
123456700000362|Blanchardstown|Home|Low Usage Overall
123456700000363|Liffey Valley|Home|High SMS - Low Data
123456700000364|Dundrum|Leisure|High SMS - Low Data
123456700000365|Liffey Valley|Home|Low Usage Overall
123456700000366|Swords Pavillion|Work|Low Usage Overall
123456700000367|Dundrum|Leisure|High Voice & SMS
123456700000368|Liffey Valley|Work|Average User
123456700000369|Swords Pavillion|Leisure|Low Usage Overall
123456700000370|Dundrum|Work|Average User
123456700000371|Liffey Valley|Leisure|Average User
123456700000372|Liffey Valley|Home|Average User
123456700000373|Swords Pavillion|Home|Big Data
123456700000374|Swords Pavillion|Work|High Voice
123456700000375|Liffey Valley|Leisure|Low Usage Overall
123456700000376|Blanchardstown|Leisure|High Voice & SMS
123456700000377|Dundrum|Work|Average User
123456700000378|Swords Pavillion|Leisure|Low Usage Overall
123456700000379|Blanchardstown|Home|Average User
123456700000380|Liffey Valley|Home|High Voice
123456700000381|Blanchardstown|Leisure|Average User
123456700000382|Dundrum|Work|High Voice & SMS
123456700000383|Dundrum|Work|Low Usage Overall
123456700000384|Liffey Valley|Leisure|Big Data
123456700000385|Blanchardstown|Leisure|High Voice & SMS
123456700000386|Swords Pavillion|Work|High Voice & SMS
123456700000387|Swords Pavillion|Work|High Voice
123456700000388|Blanchardstown|Work|High Voice
123456700000389|Liffey Valley|Home|Big Data
123456700000390|Blanchardstown|Work|High SMS - Low Data
123456700000391|Liffey Valley|Home|High Voice & SMS
123456700000392|Swords Pavillion|Home|Big Data
123456700000393|Dundrum|Leisure|High Voice
123456700000394|Blanchardstown|Leisure|Average User
123456700000395|Dundrum|Home|Average User
123456700000396|Liffey Valley|Home|High Voice
123456700000397|Liffey Valley|Work|Big Data
123456700000398|Swords Pavillion|Home|Big Data
123456700000399|Dundrum|Home|High Voice
123456700000400|Liffey Valley|Work|High Voice
123456700000401|Dundrum|Leisure|Low Usage Overall
123456700000402|Liffey Valley|Leisure|Low Usage Overall
123456700000403|Blanchardstown|Work|High Voice
123456700000404|Liffey Valley|Leisure|High SMS - Low Data
123456700000405|Liffey Valley|Work|Big Data
123456700000406|Dundrum|Home|Big Data
123456700000407|Dundrum|Work|High Voice & SMS
123456700000408|Dundrum|Home|Low Usage Overall
123456700000409|Liffey Valley|Home|Average User
123456700000410|Liffey Valley|Home|Big Data
123456700000411|Dundrum|Home|High Voice & SMS
123456700000412|Blanchardstown|Work|Low Usage Overall
123456700000413|Liffey Valley|Work|High SMS - Low Data
123456700000414|Liffey Valley|Leisure|High Voice
123456700000415|Liffey Valley|Home|Average User
123456700000416|Swords Pavillion|Leisure|High SMS - Low Data
123456700000417|Dundrum|Home|High Voice & SMS
123456700000418|Blanchardstown|Leisure|High Voice & SMS
123456700000419|Swords Pavillion|Work|Big Data
123456700000420|Blanchardstown|Home|High Voice & SMS
123456700000421|Dundrum|Leisure|High Voice
123456700000422|Blanchardstown|Home|High SMS - Low Data
123456700000423|Dundrum|Leisure|High Voice & SMS
123456700000424|Blanchardstown|Home|Average User
123456700000425|Blanchardstown|Home|High Voice & SMS
123456700000426|Blanchardstown|Home|High SMS - Low Data
123456700000427|Swords Pavillion|Work|High Voice
123456700000428|Dundrum|Work|High Voice
123456700000429|Dundrum|Work|High Voice & SMS
123456700000430|Swords Pavillion|Home|High Voice & SMS
123456700000431|Swords Pavillion|Leisure|Low Usage Overall
123456700000432|Swords Pavillion|Home|High SMS - Low Data
123456700000433|Blanchardstown|Work|Low Usage Overall
123456700000434|Swords Pavillion|Home|High Voice & SMS
123456700000435|Dundrum|Work|High SMS - Low Data
123456700000436|Liffey Valley|Work|Big Data
123456700000437|Swords Pavillion|Home|High SMS - Low Data
123456700000438|Liffey Valley|Work|High Voice
123456700000439|Dundrum|Work|High SMS - Low Data
123456700000440|Dundrum|Home|Average User
123456700000441|Liffey Valley|Home|High SMS - Low Data
123456700000442|Liffey Valley|Home|Low Usage Overall
123456700000443|Blanchardstown|Leisure|High SMS - Low Data
123456700000444|Dundrum|Leisure|Big Data
123456700000445|Dundrum|Leisure|Low Usage Overall
123456700000446|Liffey Valley|Work|Average User
123456700000447|Swords Pavillion|Leisure|Average User
123456700000448|Liffey Valley|Work|High SMS - Low Data
123456700000449|Blanchardstown|Work|High Voice & SMS
123456700000450|Liffey Valley|Leisure|Average User
123456700000451|Dundrum|Home|Big Data
123456700000452|Liffey Valley|Leisure|Big Data
123456700000453|Swords Pavillion|Leisure|High SMS - Low Data
123456700000454|Dundrum|Home|High Voice
123456700000455|Swords Pavillion|Work|Low Usage Overall
123456700000456|Liffey Valley|Leisure|High Voice & SMS
123456700000457|Swords Pavillion|Leisure|Big Data
123456700000458|Blanchardstown|Work|High Voice & SMS
123456700000459|Dundrum|Leisure|High SMS - Low Data
123456700000460|Blanchardstown|Leisure|Big Data
123456700000461|Liffey Valley|Home|High SMS - Low Data
123456700000462|Swords Pavillion|Leisure|Low Usage Overall
123456700000463|Liffey Valley|Work|High SMS - Low Data
123456700000464|Swords Pavillion|Leisure|Big Data
123456700000465|Swords Pavillion|Work|High SMS - Low Data
123456700000466|Blanchardstown|Home|Low Usage Overall
123456700000467|Swords Pavillion|Home|Average User
123456700000468|Liffey Valley|Leisure|Low Usage Overall
123456700000469|Liffey Valley|Work|High Voice & SMS
123456700000470|Blanchardstown|Work|Big Data
123456700000471|Swords Pavillion|Home|High Voice
123456700000472|Swords Pavillion|Leisure|Big Data
123456700000473|Swords Pavillion|Work|High SMS - Low Data
123456700000474|Swords Pavillion|Leisure|Average User
123456700000475|Swords Pavillion|Home|High SMS - Low Data
123456700000476|Swords Pavillion|Work|High Voice & SMS
123456700000477|Blanchardstown|Work|Big Data
123456700000478|Liffey Valley|Leisure|Big Data
123456700000479|Blanchardstown|Home|High SMS - Low Data
123456700000480|Swords Pavillion|Home|Average User
123456700000481|Liffey Valley|Work|Low Usage Overall
123456700000482|Liffey Valley|Work|High Voice & SMS
123456700000483|Blanchardstown|Work|High Voice
123456700000484|Swords Pavillion|Leisure|High SMS - Low Data
123456700000485|Blanchardstown|Leisure|High Voice & SMS
123456700000486|Blanchardstown|Leisure|High Voice
123456700000487|Dundrum|Leisure|High Voice & SMS
123456700000488|Liffey Valley|Leisure|High Voice
123456700000489|Blanchardstown|Leisure|High Voice
123456700000490|Blanchardstown|Leisure|High SMS - Low Data
123456700000491|Dundrum|Home|Low Usage Overall
123456700000492|Blanchardstown|Work|Low Usage Overall
123456700000493|Blanchardstown|Leisure|Big Data
123456700000494|Swords Pavillion|Home|Low Usage Overall
123456700000495|Swords Pavillion|Work|High Voice
123456700000496|Dundrum|Leisure|Big Data
123456700000497|Dundrum|Work|Low Usage Overall
123456700000498|Dundrum|Home|High Voice & SMS
123456700000499|Swords Pavillion|Home|High SMS - Low Data
123456700000500|Swords Pavillion|Work|Average User
123456700000501|Blanchardstown|Home|High SMS - Low Data
123456700000502|Liffey Valley|Leisure|High SMS - Low Data
123456700000503|Dundrum|Work|High SMS - Low Data
123456700000504|Dundrum|Home|High Voice
123456700000505|Blanchardstown|Leisure|Big Data
123456700000506|Swords Pavillion|Home|Average User
123456700000507|Dundrum|Leisure|Low Usage Overall
123456700000508|Swords Pavillion|Home|Average User
123456700000509|Blanchardstown|Home|Low Usage Overall
123456700000510|Dundrum|Home|High SMS - Low Data
123456700000511|Dundrum|Leisure|High Voice & SMS
123456700000512|Blanchardstown|Leisure|High Voice & SMS
123456700000513|Liffey Valley|Leisure|Low Usage Overall
123456700000514|Dundrum|Work|High Voice & SMS
123456700000515|Dundrum|Home|Average User
123456700000516|Dundrum|Leisure|Big Data
123456700000517|Blanchardstown|Work|High Voice & SMS
123456700000518|Blanchardstown|Work|High SMS - Low Data
123456700000519|Swords Pavillion|Home|Big Data
123456700000520|Blanchardstown|Home|High SMS - Low Data
123456700000521|Dundrum|Leisure|Low Usage Overall
123456700000522|Dundrum|Home|Average User
123456700000523|Swords Pavillion|Leisure|High Voice
123456700000524|Swords Pavillion|Leisure|High Voice & SMS
123456700000525|Liffey Valley|Leisure|Big Data
123456700000526|Dundrum|Home|Low Usage Overall
123456700000527|Blanchardstown|Work|High Voice & SMS
123456700000528|Liffey Valley|Home|High SMS - Low Data
123456700000529|Swords Pavillion|Leisure|High Voice & SMS
123456700000530|Dundrum|Leisure|High SMS - Low Data
123456700000531|Dundrum|Leisure|Big Data
123456700000532|Swords Pavillion|Leisure|Average User
123456700000533|Swords Pavillion|Home|Average User
123456700000534|Swords Pavillion|Home|High Voice
123456700000535|Dundrum|Work|Low Usage Overall
123456700000536|Swords Pavillion|Home|High Voice
123456700000537|Swords Pavillion|Home|Low Usage Overall
123456700000538|Blanchardstown|Work|High Voice & SMS
123456700000539|Blanchardstown|Home|High SMS - Low Data
123456700000540|Dundrum|Work|High Voice
123456700000541|Liffey Valley|Home|Big Data
123456700000542|Liffey Valley|Work|Average User
123456700000543|Swords Pavillion|Leisure|Low Usage Overall
123456700000544|Swords Pavillion|Work|Average User
123456700000545|Blanchardstown|Home|Big Data
123456700000546|Blanchardstown|Work|Low Usage Overall
123456700000547|Swords Pavillion|Work|Low Usage Overall
123456700000548|Liffey Valley|Work|High Voice & SMS
123456700000549|Liffey Valley|Work|High Voice
123456700000550|Dundrum|Leisure|Average User
123456700000551|Liffey Valley|Home|High Voice
123456700000552|Blanchardstown|Leisure|High Voice & SMS
123456700000553|Blanchardstown|Leisure|High Voice
123456700000554|Liffey Valley|Home|High SMS - Low Data
123456700000555|Blanchardstown|Work|High SMS - Low Data
123456700000556|Swords Pavillion|Home|Big Data
123456700000557|Liffey Valley|Work|High Voice & SMS
123456700000558|Dundrum|Leisure|Average User
123456700000559|Swords Pavillion|Home|High Voice
123456700000560|Liffey Valley|Leisure|High Voice & SMS
123456700000561|Liffey Valley|Leisure|High Voice & SMS
123456700000562|Liffey Valley|Home|Big Data
123456700000563|Dundrum|Leisure|High Voice
123456700000564|Liffey Valley|Home|Low Usage Overall
123456700000565|Swords Pavillion|Work|High SMS - Low Data
123456700000566|Liffey Valley|Home|Big Data
123456700000567|Swords Pavillion|Home|Low Usage Overall
123456700000568|Swords Pavillion|Leisure|Big Data
123456700000569|Swords Pavillion|Leisure|High Voice
