DATE|IMSI|PRIMARY INTEREST|SECONDARY INTEREST|WEIGHTING
FEBRUARY 2016|123456700000008|News & Media|News|67
FEBRUARY 2016|123456700000009|News & Media|Science|41
FEBRUARY 2016|123456700000009|Sport|Rugby|43
FEBRUARY 2016|123456700000009|Finance|Banking|24
FEBRUARY 2016|123456700000009|Gambling|Sports Gambling|26
FEBRUARY 2016|123456700000009|Sport|Sport|41
FEBRUARY 2016|123456700000010|Arts & Entertainment|TV & Video|18
FEBRUARY 2016|123456700000010|Finance|Banking|28
FEBRUARY 2016|123456700000010|Books & Literature|Book Retailers|68
FEBRUARY 2016|123456700000010|News & Media|Science|16
FEBRUARY 2016|123456700000010|News & Media|Magazines & E-Zines|89
FEBRUARY 2016|123456700000011|News & Media|Magazines & E-Zines|30
FEBRUARY 2016|123456700000011|Books & Literature|Book Retailers|83
FEBRUARY 2016|123456700000011|Arts & Entertainment|TV & Video|76
FEBRUARY 2016|123456700000011|Sport|Rugby|81
FEBRUARY 2016|123456700000011|News & Media|Science|95
FEBRUARY 2016|123456700000012|Arts & Entertainment|TV & Video|72
FEBRUARY 2016|123456700000012|Sport|Soccer|57
FEBRUARY 2016|123456700000012|News & Media|News|44
FEBRUARY 2016|123456700000012|Books & Literature|Book Retailers|86
FEBRUARY 2016|123456700000012|Books & Literature|Book Retailers|41
FEBRUARY 2016|123456700000013|Finance|Banking|45
FEBRUARY 2016|123456700000013|Sport|Golf|92
FEBRUARY 2016|123456700000013|Finance|Banking|15
FEBRUARY 2016|123456700000013|Books & Literature|Book Retailers|71
FEBRUARY 2016|123456700000013|Sport|Golf|80
FEBRUARY 2016|123456700000014|Finance|Banking|74
FEBRUARY 2016|123456700000014|Sport|Sport|21
FEBRUARY 2016|123456700000014|Finance|Banking|56
FEBRUARY 2016|123456700000014|News & Media|Magazines & E-Zines|20
FEBRUARY 2016|123456700000014|Sport|Rugby|30
FEBRUARY 2016|123456700000015|Sport|Rugby|82
FEBRUARY 2016|123456700000015|Arts & Entertainment|TV & Video|56
FEBRUARY 2016|123456700000015|Finance|Banking|24
FEBRUARY 2016|123456700000015|News & Media|Magazines & E-Zines|25
FEBRUARY 2016|123456700000015|Internet & Telecom|Social Networking|21
FEBRUARY 2016|123456700000016|News & Media|News|4
FEBRUARY 2016|123456700000016|Sport|Soccer|24
FEBRUARY 2016|123456700000016|Sport|Rugby|57
FEBRUARY 2016|123456700000016|Gambling|Sports Gambling|17
FEBRUARY 2016|123456700000016|News & Media|Science|48
FEBRUARY 2016|123456700000017|Arts & Entertainment|TV & Video|9
FEBRUARY 2016|123456700000017|News & Media|News|65
FEBRUARY 2016|123456700000017|Finance|Banking|38
FEBRUARY 2016|123456700000017|Books & Literature|Book Retailers|87
FEBRUARY 2016|123456700000017|Sport|Golf|85
FEBRUARY 2016|123456700000018|Finance|Banking|48
FEBRUARY 2016|123456700000018|Gambling|Sports Gambling|35
FEBRUARY 2016|123456700000018|Gambling|Sports Gambling|20
FEBRUARY 2016|123456700000018|Sport|Sport|25
FEBRUARY 2016|123456700000018|Arts & Entertainment|TV & Video|10
FEBRUARY 2016|123456700000019|Gambling|Sports Gambling|28
FEBRUARY 2016|123456700000019|Gambling|Sports Gambling|33
FEBRUARY 2016|123456700000019|News & Media|News|56
FEBRUARY 2016|123456700000019|Finance|Banking|56
FEBRUARY 2016|123456700000019|Arts & Entertainment|TV & Video|74
FEBRUARY 2016|123456700000020|Internet & Telecom|Social Networking|95
FEBRUARY 2016|123456700000020|Arts & Entertainment|TV & Video|76
FEBRUARY 2016|123456700000020|News & Media|Magazines & E-Zines|89
FEBRUARY 2016|123456700000020|Sport|Rugby|81
FEBRUARY 2016|123456700000020|News & Media|Magazines & E-Zines|58
FEBRUARY 2016|123456700000021|Sport|Soccer|92
FEBRUARY 2016|123456700000021|Books & Literature|Book Retailers|42
FEBRUARY 2016|123456700000021|Sport|Sport|5
FEBRUARY 2016|123456700000021|News & Media|News|44
FEBRUARY 2016|123456700000021|Books & Literature|Book Retailers|11
FEBRUARY 2016|123456700000022|Books & Literature|Book Retailers|56
FEBRUARY 2016|123456700000022|News & Media|Science|61
FEBRUARY 2016|123456700000022|News & Media|Magazines & E-Zines|15
FEBRUARY 2016|123456700000022|Gambling|Sports Gambling|18
FEBRUARY 2016|123456700000022|Books & Literature|Book Retailers|37
FEBRUARY 2016|123456700000023|Books & Literature|Book Retailers|6
FEBRUARY 2016|123456700000023|News & Media|Science|97
FEBRUARY 2016|123456700000023|Internet & Telecom|Social Networking|87
FEBRUARY 2016|123456700000023|Sport|Soccer|58
FEBRUARY 2016|123456700000023|Sport|Soccer|66
FEBRUARY 2016|123456700000024|Arts & Entertainment|TV & Video|86
FEBRUARY 2016|123456700000024|Sport|Soccer|39
FEBRUARY 2016|123456700000024|Gambling|Sports Gambling|27
FEBRUARY 2016|123456700000024|Sport|Golf|20
FEBRUARY 2016|123456700000024|News & Media|News|86
FEBRUARY 2016|123456700000025|Sport|Soccer|58
FEBRUARY 2016|123456700000025|News & Media|Science|11
FEBRUARY 2016|123456700000025|Books & Literature|Book Retailers|47
FEBRUARY 2016|123456700000025|Gambling|Sports Gambling|15
FEBRUARY 2016|123456700000025|Finance|Banking|5
FEBRUARY 2016|123456700000026|News & Media|Magazines & E-Zines|3
FEBRUARY 2016|123456700000026|Books & Literature|Book Retailers|70
FEBRUARY 2016|123456700000026|Arts & Entertainment|TV & Video|83
FEBRUARY 2016|123456700000026|Sport|Sport|46
FEBRUARY 2016|123456700000026|Sport|Soccer|50
FEBRUARY 2016|123456700000027|Sport|Rugby|30
FEBRUARY 2016|123456700000027|Sport|Golf|75
FEBRUARY 2016|123456700000027|Gambling|Sports Gambling|17
FEBRUARY 2016|123456700000027|Finance|Banking|5
FEBRUARY 2016|123456700000027|Internet & Telecom|Social Networking|98
FEBRUARY 2016|123456700000028|Arts & Entertainment|TV & Video|35
FEBRUARY 2016|123456700000028|Internet & Telecom|Social Networking|81
FEBRUARY 2016|123456700000028|Sport|Golf|36
FEBRUARY 2016|123456700000028|Sport|Rugby|95
FEBRUARY 2016|123456700000028|Gambling|Sports Gambling|1
FEBRUARY 2016|123456700000029|News & Media|Magazines & E-Zines|79
FEBRUARY 2016|123456700000029|Books & Literature|Book Retailers|41
FEBRUARY 2016|123456700000029|News & Media|Science|96
FEBRUARY 2016|123456700000029|News & Media|News|35
FEBRUARY 2016|123456700000029|News & Media|Science|44
FEBRUARY 2016|123456700000030|Internet & Telecom|Social Networking|91
FEBRUARY 2016|123456700000030|News & Media|Magazines & E-Zines|38
FEBRUARY 2016|123456700000030|News & Media|Science|0
FEBRUARY 2016|123456700000030|Sport|Sport|81
FEBRUARY 2016|123456700000030|Finance|Banking|10
FEBRUARY 2016|123456700000031|Gambling|Sports Gambling|22
FEBRUARY 2016|123456700000031|Sport|Soccer|24
FEBRUARY 2016|123456700000031|Sport|Golf|42
FEBRUARY 2016|123456700000031|News & Media|News|67
FEBRUARY 2016|123456700000031|Arts & Entertainment|TV & Video|3
FEBRUARY 2016|123456700000032|Books & Literature|Book Retailers|50
FEBRUARY 2016|123456700000032|Sport|Soccer|5
FEBRUARY 2016|123456700000032|News & Media|Science|10
FEBRUARY 2016|123456700000032|News & Media|Science|14
FEBRUARY 2016|123456700000032|Books & Literature|Book Retailers|49
FEBRUARY 2016|123456700000033|News & Media|Science|81
FEBRUARY 2016|123456700000033|Arts & Entertainment|TV & Video|100
FEBRUARY 2016|123456700000033|News & Media|Magazines & E-Zines|31
FEBRUARY 2016|123456700000033|Books & Literature|Book Retailers|62
FEBRUARY 2016|123456700000033|Finance|Banking|55
FEBRUARY 2016|123456700000034|Sport|Rugby|66
FEBRUARY 2016|123456700000034|Sport|Sport|83
FEBRUARY 2016|123456700000034|News & Media|Science|45
FEBRUARY 2016|123456700000034|Books & Literature|Book Retailers|85
FEBRUARY 2016|123456700000034|Finance|Banking|80
FEBRUARY 2016|123456700000035|Gambling|Sports Gambling|81
FEBRUARY 2016|123456700000035|News & Media|Magazines & E-Zines|56
FEBRUARY 2016|123456700000035|News & Media|News|35
FEBRUARY 2016|123456700000035|Sport|Sport|45
FEBRUARY 2016|123456700000035|News & Media|News|23
FEBRUARY 2016|123456700000036|News & Media|News|92
FEBRUARY 2016|123456700000036|Gambling|Sports Gambling|1
FEBRUARY 2016|123456700000036|Sport|Rugby|63
FEBRUARY 2016|123456700000036|Internet & Telecom|Social Networking|50
FEBRUARY 2016|123456700000036|News & Media|Science|58
FEBRUARY 2016|123456700000037|Books & Literature|Book Retailers|91
FEBRUARY 2016|123456700000037|Books & Literature|Book Retailers|85
FEBRUARY 2016|123456700000037|Arts & Entertainment|TV & Video|100
FEBRUARY 2016|123456700000037|News & Media|Science|19
FEBRUARY 2016|123456700000037|Books & Literature|Book Retailers|100
FEBRUARY 2016|123456700000038|Books & Literature|Book Retailers|39
FEBRUARY 2016|123456700000038|Sport|Soccer|32
FEBRUARY 2016|123456700000038|News & Media|Magazines & E-Zines|14
FEBRUARY 2016|123456700000038|Sport|Soccer|28
FEBRUARY 2016|123456700000038|Sport|Soccer|25
FEBRUARY 2016|123456700000039|Finance|Banking|63
FEBRUARY 2016|123456700000039|Books & Literature|Book Retailers|39
FEBRUARY 2016|123456700000039|Internet & Telecom|Social Networking|66
FEBRUARY 2016|123456700000039|News & Media|Science|66
FEBRUARY 2016|123456700000039|Arts & Entertainment|TV & Video|57
FEBRUARY 2016|123456700000040|Arts & Entertainment|TV & Video|34
FEBRUARY 2016|123456700000040|Internet & Telecom|Social Networking|21
FEBRUARY 2016|123456700000040|News & Media|News|89
FEBRUARY 2016|123456700000040|Gambling|Sports Gambling|59
FEBRUARY 2016|123456700000040|Sport|Rugby|76
FEBRUARY 2016|123456700000041|News & Media|Science|46
FEBRUARY 2016|123456700000041|Sport|Soccer|43
FEBRUARY 2016|123456700000041|News & Media|Magazines & E-Zines|87
FEBRUARY 2016|123456700000041|Sport|Rugby|3
FEBRUARY 2016|123456700000041|Sport|Rugby|28
FEBRUARY 2016|123456700000042|Finance|Banking|97
FEBRUARY 2016|123456700000042|Books & Literature|Book Retailers|68
FEBRUARY 2016|123456700000042|Sport|Rugby|48
FEBRUARY 2016|123456700000042|News & Media|News|24
FEBRUARY 2016|123456700000042|Sport|Sport|48
FEBRUARY 2016|123456700000043|Arts & Entertainment|TV & Video|68
FEBRUARY 2016|123456700000043|Gambling|Sports Gambling|86
FEBRUARY 2016|123456700000043|Books & Literature|Book Retailers|55
FEBRUARY 2016|123456700000043|Sport|Sport|55
FEBRUARY 2016|123456700000043|Gambling|Sports Gambling|89
FEBRUARY 2016|123456700000044|News & Media|Magazines & E-Zines|72
FEBRUARY 2016|123456700000044|News & Media|News|67
FEBRUARY 2016|123456700000044|News & Media|Magazines & E-Zines|46
FEBRUARY 2016|123456700000044|Sport|Rugby|39
FEBRUARY 2016|123456700000044|Sport|Soccer|35
FEBRUARY 2016|123456700000045|Books & Literature|Book Retailers|1
FEBRUARY 2016|123456700000045|News & Media|Science|88
FEBRUARY 2016|123456700000045|News & Media|Magazines & E-Zines|66
FEBRUARY 2016|123456700000045|Books & Literature|Book Retailers|34
FEBRUARY 2016|123456700000045|News & Media|Magazines & E-Zines|9
FEBRUARY 2016|123456700000046|News & Media|News|97
FEBRUARY 2016|123456700000046|Internet & Telecom|Social Networking|13
FEBRUARY 2016|123456700000046|Sport|Rugby|58
FEBRUARY 2016|123456700000046|Internet & Telecom|Social Networking|52
FEBRUARY 2016|123456700000046|Internet & Telecom|Social Networking|18
FEBRUARY 2016|123456700000047|Sport|Soccer|23
FEBRUARY 2016|123456700000047|Sport|Golf|22
FEBRUARY 2016|123456700000047|News & Media|Science|56
FEBRUARY 2016|123456700000047|News & Media|News|34
FEBRUARY 2016|123456700000047|News & Media|News|9
FEBRUARY 2016|123456700000048|Books & Literature|Book Retailers|34
FEBRUARY 2016|123456700000048|Arts & Entertainment|TV & Video|72
FEBRUARY 2016|123456700000048|Sport|Rugby|29
FEBRUARY 2016|123456700000048|News & Media|Magazines & E-Zines|79
FEBRUARY 2016|123456700000048|Finance|Banking|23
FEBRUARY 2016|123456700000049|Sport|Rugby|97
FEBRUARY 2016|123456700000049|News & Media|Magazines & E-Zines|12
FEBRUARY 2016|123456700000049|Sport|Sport|16
FEBRUARY 2016|123456700000049|Gambling|Sports Gambling|93
FEBRUARY 2016|123456700000049|Internet & Telecom|Social Networking|99
FEBRUARY 2016|123456700000050|Internet & Telecom|Social Networking|22
FEBRUARY 2016|123456700000050|Sport|Golf|53
FEBRUARY 2016|123456700000050|Gambling|Sports Gambling|67
FEBRUARY 2016|123456700000050|Finance|Banking|58
FEBRUARY 2016|123456700000050|Finance|Banking|1
FEBRUARY 2016|123456700000051|Sport|Sport|26
FEBRUARY 2016|123456700000051|Sport|Sport|4
FEBRUARY 2016|123456700000051|News & Media|News|94
FEBRUARY 2016|123456700000051|Gambling|Sports Gambling|86
FEBRUARY 2016|123456700000051|News & Media|News|77
FEBRUARY 2016|123456700000052|News & Media|News|14
FEBRUARY 2016|123456700000052|News & Media|Science|13
FEBRUARY 2016|123456700000052|Sport|Soccer|14
FEBRUARY 2016|123456700000052|News & Media|Magazines & E-Zines|63
FEBRUARY 2016|123456700000052|Sport|Sport|68
FEBRUARY 2016|123456700000053|Sport|Rugby|13
FEBRUARY 2016|123456700000053|Sport|Sport|42
FEBRUARY 2016|123456700000053|Sport|Golf|45
FEBRUARY 2016|123456700000053|Books & Literature|Book Retailers|51
FEBRUARY 2016|123456700000053|Sport|Soccer|56
FEBRUARY 2016|123456700000054|Arts & Entertainment|TV & Video|18
FEBRUARY 2016|123456700000054|Sport|Golf|71
FEBRUARY 2016|123456700000054|Sport|Golf|53
FEBRUARY 2016|123456700000054|Sport|Golf|42
FEBRUARY 2016|123456700000054|Sport|Golf|38
FEBRUARY 2016|123456700000055|Sport|Soccer|81
FEBRUARY 2016|123456700000055|Sport|Sport|41
FEBRUARY 2016|123456700000055|News & Media|Magazines & E-Zines|54
FEBRUARY 2016|123456700000055|Finance|Banking|7
FEBRUARY 2016|123456700000055|News & Media|Science|43
FEBRUARY 2016|123456700000056|Sport|Rugby|53
FEBRUARY 2016|123456700000056|Gambling|Sports Gambling|71
FEBRUARY 2016|123456700000056|Sport|Rugby|4
FEBRUARY 2016|123456700000056|Finance|Banking|13
FEBRUARY 2016|123456700000056|Arts & Entertainment|TV & Video|46
FEBRUARY 2016|123456700000057|Books & Literature|Book Retailers|46
FEBRUARY 2016|123456700000057|Internet & Telecom|Social Networking|41
FEBRUARY 2016|123456700000057|Gambling|Sports Gambling|28
FEBRUARY 2016|123456700000057|Books & Literature|Book Retailers|82
FEBRUARY 2016|123456700000057|Sport|Golf|34
FEBRUARY 2016|123456700000058|News & Media|Magazines & E-Zines|72
FEBRUARY 2016|123456700000058|Books & Literature|Book Retailers|9
FEBRUARY 2016|123456700000058|Gambling|Sports Gambling|80
FEBRUARY 2016|123456700000058|Sport|Golf|13
FEBRUARY 2016|123456700000058|News & Media|Science|93
FEBRUARY 2016|123456700000059|Sport|Soccer|27
FEBRUARY 2016|123456700000059|Sport|Sport|77
FEBRUARY 2016|123456700000059|Sport|Sport|1
FEBRUARY 2016|123456700000059|Internet & Telecom|Social Networking|77
FEBRUARY 2016|123456700000059|Finance|Banking|76
FEBRUARY 2016|123456700000060|News & Media|Magazines & E-Zines|36
FEBRUARY 2016|123456700000060|News & Media|Science|70
FEBRUARY 2016|123456700000060|Sport|Rugby|81
FEBRUARY 2016|123456700000060|Arts & Entertainment|TV & Video|78
FEBRUARY 2016|123456700000060|Sport|Sport|50
FEBRUARY 2016|123456700000061|Sport|Sport|13
FEBRUARY 2016|123456700000061|Internet & Telecom|Social Networking|33
FEBRUARY 2016|123456700000061|Books & Literature|Book Retailers|42
FEBRUARY 2016|123456700000061|Books & Literature|Book Retailers|100
FEBRUARY 2016|123456700000061|Finance|Banking|10
FEBRUARY 2016|123456700000062|News & Media|Magazines & E-Zines|97
FEBRUARY 2016|123456700000062|Arts & Entertainment|TV & Video|42
FEBRUARY 2016|123456700000062|Internet & Telecom|Social Networking|66
FEBRUARY 2016|123456700000062|Finance|Banking|1
FEBRUARY 2016|123456700000062|Sport|Golf|35
FEBRUARY 2016|123456700000063|Sport|Golf|92
FEBRUARY 2016|123456700000063|Sport|Soccer|46
FEBRUARY 2016|123456700000063|Books & Literature|Book Retailers|91
FEBRUARY 2016|123456700000063|Arts & Entertainment|TV & Video|48
FEBRUARY 2016|123456700000063|Sport|Rugby|68
FEBRUARY 2016|123456700000064|News & Media|Science|46
FEBRUARY 2016|123456700000064|News & Media|News|92
FEBRUARY 2016|123456700000064|News & Media|Magazines & E-Zines|28
FEBRUARY 2016|123456700000064|Sport|Soccer|92
FEBRUARY 2016|123456700000064|Sport|Rugby|51
FEBRUARY 2016|123456700000065|News & Media|Magazines & E-Zines|66
FEBRUARY 2016|123456700000065|Internet & Telecom|Social Networking|23
FEBRUARY 2016|123456700000065|News & Media|Magazines & E-Zines|40
FEBRUARY 2016|123456700000065|Sport|Rugby|38
FEBRUARY 2016|123456700000065|Arts & Entertainment|TV & Video|81
FEBRUARY 2016|123456700000066|News & Media|Science|84
FEBRUARY 2016|123456700000066|News & Media|Science|39
FEBRUARY 2016|123456700000066|Books & Literature|Book Retailers|23
FEBRUARY 2016|123456700000066|News & Media|Magazines & E-Zines|59
FEBRUARY 2016|123456700000066|Books & Literature|Book Retailers|45
FEBRUARY 2016|123456700000067|Sport|Golf|95
FEBRUARY 2016|123456700000067|News & Media|Magazines & E-Zines|26
FEBRUARY 2016|123456700000067|News & Media|Magazines & E-Zines|98
FEBRUARY 2016|123456700000067|Sport|Golf|46
FEBRUARY 2016|123456700000067|News & Media|News|36
FEBRUARY 2016|123456700000068|Sport|Golf|20
FEBRUARY 2016|123456700000068|Internet & Telecom|Social Networking|59
FEBRUARY 2016|123456700000068|News & Media|News|57
FEBRUARY 2016|123456700000068|Internet & Telecom|Social Networking|46
FEBRUARY 2016|123456700000068|Books & Literature|Book Retailers|88
FEBRUARY 2016|123456700000069|Finance|Banking|5
FEBRUARY 2016|123456700000069|Sport|Sport|79
FEBRUARY 2016|123456700000069|Internet & Telecom|Social Networking|40
FEBRUARY 2016|123456700000069|Sport|Golf|82
FEBRUARY 2016|123456700000069|Finance|Banking|94
FEBRUARY 2016|123456700000070|Gambling|Sports Gambling|84
FEBRUARY 2016|123456700000070|Gambling|Sports Gambling|46
FEBRUARY 2016|123456700000070|Sport|Golf|98
FEBRUARY 2016|123456700000070|Sport|Golf|31
FEBRUARY 2016|123456700000070|News & Media|Science|52
FEBRUARY 2016|123456700000071|Internet & Telecom|Social Networking|44
FEBRUARY 2016|123456700000071|Sport|Soccer|86
FEBRUARY 2016|123456700000071|Finance|Banking|22
FEBRUARY 2016|123456700000071|News & Media|News|37
FEBRUARY 2016|123456700000071|Internet & Telecom|Social Networking|26
FEBRUARY 2016|123456700000072|Arts & Entertainment|TV & Video|79
FEBRUARY 2016|123456700000072|Gambling|Sports Gambling|73
FEBRUARY 2016|123456700000072|Internet & Telecom|Social Networking|94
FEBRUARY 2016|123456700000072|Sport|Soccer|94
FEBRUARY 2016|123456700000072|Sport|Rugby|78
FEBRUARY 2016|123456700000073|Arts & Entertainment|TV & Video|97
FEBRUARY 2016|123456700000073|Internet & Telecom|Social Networking|87
FEBRUARY 2016|123456700000073|News & Media|Magazines & E-Zines|91
FEBRUARY 2016|123456700000073|Sport|Sport|32
FEBRUARY 2016|123456700000073|Finance|Banking|38
FEBRUARY 2016|123456700000074|Internet & Telecom|Social Networking|95
FEBRUARY 2016|123456700000074|Sport|Rugby|36
FEBRUARY 2016|123456700000074|Arts & Entertainment|TV & Video|72
FEBRUARY 2016|123456700000074|News & Media|News|47
FEBRUARY 2016|123456700000074|News & Media|News|86
FEBRUARY 2016|123456700000075|Books & Literature|Book Retailers|17
FEBRUARY 2016|123456700000075|Finance|Banking|77
FEBRUARY 2016|123456700000075|News & Media|Magazines & E-Zines|84
FEBRUARY 2016|123456700000075|News & Media|Science|35
FEBRUARY 2016|123456700000075|Sport|Sport|48
FEBRUARY 2016|123456700000076|News & Media|News|25
FEBRUARY 2016|123456700000076|Sport|Golf|0
FEBRUARY 2016|123456700000076|Sport|Golf|73
FEBRUARY 2016|123456700000076|News & Media|Science|19
FEBRUARY 2016|123456700000076|Sport|Sport|62
FEBRUARY 2016|123456700000077|Books & Literature|Book Retailers|43
FEBRUARY 2016|123456700000077|Sport|Soccer|0
FEBRUARY 2016|123456700000077|Books & Literature|Book Retailers|81
FEBRUARY 2016|123456700000077|Sport|Soccer|0
FEBRUARY 2016|123456700000077|News & Media|News|4
FEBRUARY 2016|123456700000078|Finance|Banking|16
FEBRUARY 2016|123456700000078|Arts & Entertainment|TV & Video|99
FEBRUARY 2016|123456700000078|Sport|Soccer|55
FEBRUARY 2016|123456700000078|Sport|Rugby|38
FEBRUARY 2016|123456700000078|News & Media|Science|55
FEBRUARY 2016|123456700000079|News & Media|Magazines & E-Zines|70
FEBRUARY 2016|123456700000079|Sport|Rugby|34
FEBRUARY 2016|123456700000079|Sport|Rugby|57
FEBRUARY 2016|123456700000079|Sport|Golf|72
FEBRUARY 2016|123456700000079|Sport|Rugby|41
FEBRUARY 2016|123456700000080|Sport|Soccer|61
FEBRUARY 2016|123456700000080|Books & Literature|Book Retailers|47
FEBRUARY 2016|123456700000080|Sport|Golf|7
FEBRUARY 2016|123456700000080|News & Media|Science|28
FEBRUARY 2016|123456700000080|News & Media|Science|5
FEBRUARY 2016|123456700000081|Sport|Sport|31
FEBRUARY 2016|123456700000081|Books & Literature|Book Retailers|57
FEBRUARY 2016|123456700000081|Sport|Golf|30
FEBRUARY 2016|123456700000081|Gambling|Sports Gambling|68
FEBRUARY 2016|123456700000081|Sport|Sport|95
FEBRUARY 2016|123456700000082|Sport|Rugby|100
FEBRUARY 2016|123456700000082|News & Media|Magazines & E-Zines|8
FEBRUARY 2016|123456700000082|Books & Literature|Book Retailers|89
FEBRUARY 2016|123456700000082|Sport|Sport|62
FEBRUARY 2016|123456700000082|Finance|Banking|94
FEBRUARY 2016|123456700000083|Books & Literature|Book Retailers|78
FEBRUARY 2016|123456700000083|Internet & Telecom|Social Networking|50
FEBRUARY 2016|123456700000083|News & Media|Magazines & E-Zines|86
FEBRUARY 2016|123456700000083|News & Media|Magazines & E-Zines|38
FEBRUARY 2016|123456700000083|Sport|Golf|52
FEBRUARY 2016|123456700000084|News & Media|Science|42
FEBRUARY 2016|123456700000084|Arts & Entertainment|TV & Video|81
FEBRUARY 2016|123456700000084|News & Media|Science|16
FEBRUARY 2016|123456700000084|Sport|Sport|46
FEBRUARY 2016|123456700000084|Sport|Sport|86
FEBRUARY 2016|123456700000085|Arts & Entertainment|TV & Video|12
FEBRUARY 2016|123456700000085|Finance|Banking|57
FEBRUARY 2016|123456700000085|Arts & Entertainment|TV & Video|68
FEBRUARY 2016|123456700000085|Gambling|Sports Gambling|21
FEBRUARY 2016|123456700000085|Sport|Sport|90
FEBRUARY 2016|123456700000086|News & Media|News|89
FEBRUARY 2016|123456700000086|News & Media|Magazines & E-Zines|40
FEBRUARY 2016|123456700000086|Books & Literature|Book Retailers|75
FEBRUARY 2016|123456700000086|Sport|Soccer|63
FEBRUARY 2016|123456700000086|Gambling|Sports Gambling|46
FEBRUARY 2016|123456700000087|Sport|Sport|29
FEBRUARY 2016|123456700000087|Finance|Banking|68
FEBRUARY 2016|123456700000087|News & Media|Magazines & E-Zines|58
FEBRUARY 2016|123456700000087|Books & Literature|Book Retailers|69
FEBRUARY 2016|123456700000087|News & Media|Magazines & E-Zines|7
FEBRUARY 2016|123456700000088|Sport|Sport|60
FEBRUARY 2016|123456700000088|News & Media|News|5
FEBRUARY 2016|123456700000088|Sport|Sport|88
FEBRUARY 2016|123456700000088|Finance|Banking|33
FEBRUARY 2016|123456700000088|Gambling|Sports Gambling|97
FEBRUARY 2016|123456700000089|News & Media|News|70
FEBRUARY 2016|123456700000089|Finance|Banking|45
FEBRUARY 2016|123456700000089|Sport|Rugby|27
FEBRUARY 2016|123456700000089|Books & Literature|Book Retailers|9
FEBRUARY 2016|123456700000089|Sport|Golf|99
FEBRUARY 2016|123456700000090|Finance|Banking|12
FEBRUARY 2016|123456700000090|Arts & Entertainment|TV & Video|57
FEBRUARY 2016|123456700000090|Sport|Golf|31
FEBRUARY 2016|123456700000090|Finance|Banking|98
FEBRUARY 2016|123456700000090|Sport|Soccer|57
FEBRUARY 2016|123456700000091|Finance|Banking|18
FEBRUARY 2016|123456700000091|Finance|Banking|97
FEBRUARY 2016|123456700000091|Internet & Telecom|Social Networking|46
FEBRUARY 2016|123456700000091|News & Media|News|36
FEBRUARY 2016|123456700000091|Books & Literature|Book Retailers|54
FEBRUARY 2016|123456700000092|Sport|Sport|67
FEBRUARY 2016|123456700000092|Finance|Banking|84
FEBRUARY 2016|123456700000092|News & Media|Science|98
