DATE|IMSI|MOBILITY PROFILE|SERVICE USAGE PROFILE
FEBRUARY 2016|123456700000101|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000102|Busy|Low Usage Overall
FEBRUARY 2016|123456700000103|Busy|High Voice & SMS
FEBRUARY 2016|123456700000104|Night Shift|Average User
FEBRUARY 2016|123456700000105|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000106|Daily Grinder|Average User
FEBRUARY 2016|123456700000107|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000108|Norm Peterson|Big Data
FEBRUARY 2016|123456700000109|Daily Grinder|Big Data
FEBRUARY 2016|123456700000110|Busy|Average User
FEBRUARY 2016|123456700000111|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000112|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000113|Busy|Big Data
FEBRUARY 2016|123456700000114|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000115|Busy|High Voice & SMS
FEBRUARY 2016|123456700000116|Homebody|High Voice
FEBRUARY 2016|123456700000117|Busy|High Voice & SMS
FEBRUARY 2016|123456700000118|Delivering The Goods|Average User
FEBRUARY 2016|123456700000119|Homebody|High Voice
FEBRUARY 2016|123456700000120|Night Shift|Average User
FEBRUARY 2016|123456700000121|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000122|Daily Grinder|Average User
FEBRUARY 2016|123456700000123|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000124|Homebody|High Voice
FEBRUARY 2016|123456700000125|Busy|High Voice & SMS
FEBRUARY 2016|123456700000126|Norm Peterson|High Voice
FEBRUARY 2016|123456700000127|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000128|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000129|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000130|Busy|High Voice & SMS
FEBRUARY 2016|123456700000131|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000132|Homebody|Average User
FEBRUARY 2016|123456700000133|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000134|Night Shift|Big Data
FEBRUARY 2016|123456700000135|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000136|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000137|Daily Grinder|Big Data
FEBRUARY 2016|123456700000138|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000139|Daily Grinder|Average User
FEBRUARY 2016|123456700000140|Homebody|Average User
FEBRUARY 2016|123456700000141|Busy|Big Data
FEBRUARY 2016|123456700000142|Homebody|High Voice
FEBRUARY 2016|123456700000143|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000144|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000145|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000146|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000147|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000148|Daily Grinder|Average User
FEBRUARY 2016|123456700000149|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000150|Night Shift|High Voice
FEBRUARY 2016|123456700000151|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000152|Busy|High Voice
FEBRUARY 2016|123456700000153|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000154|Homebody|Big Data
FEBRUARY 2016|123456700000155|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000156|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000157|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000158|Daily Grinder|High Voice
FEBRUARY 2016|123456700000159|Daily Grinder|Big Data
FEBRUARY 2016|123456700000160|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000161|Homebody|Big Data
FEBRUARY 2016|123456700000162|Daily Grinder|Big Data
FEBRUARY 2016|123456700000163|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000164|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000165|Homebody|Big Data
FEBRUARY 2016|123456700000166|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000167|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000168|Night Shift|High Voice
FEBRUARY 2016|123456700000169|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000170|Norm Peterson|Big Data
FEBRUARY 2016|123456700000171|Norm Peterson|Average User
FEBRUARY 2016|123456700000172|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000173|Busy|High Voice & SMS
FEBRUARY 2016|123456700000174|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000175|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000176|Daily Grinder|Big Data
FEBRUARY 2016|123456700000177|Night Shift|Big Data
FEBRUARY 2016|123456700000178|Busy|Low Usage Overall
FEBRUARY 2016|123456700000179|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000180|Daily Grinder|Average User
FEBRUARY 2016|123456700000181|Norm Peterson|Big Data
FEBRUARY 2016|123456700000182|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000183|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000184|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000185|Busy|Low Usage Overall
FEBRUARY 2016|123456700000186|Busy|Low Usage Overall
FEBRUARY 2016|123456700000187|Norm Peterson|High Voice
FEBRUARY 2016|123456700000188|Daily Grinder|High Voice
FEBRUARY 2016|123456700000189|Norm Peterson|Average User
FEBRUARY 2016|123456700000190|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000191|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000192|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000193|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000194|Delivering The Goods|Average User
FEBRUARY 2016|123456700000195|Homebody|High Voice
FEBRUARY 2016|123456700000196|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000197|Norm Peterson|High Voice
FEBRUARY 2016|123456700000198|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000199|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000200|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000201|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000202|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000203|Busy|Big Data
FEBRUARY 2016|123456700000204|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000205|Norm Peterson|Big Data
FEBRUARY 2016|123456700000206|Homebody|High Voice
FEBRUARY 2016|123456700000207|Norm Peterson|Average User
FEBRUARY 2016|123456700000208|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000209|Homebody|High Voice
FEBRUARY 2016|123456700000210|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000211|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000212|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000213|Norm Peterson|Average User
FEBRUARY 2016|123456700000214|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000215|Homebody|High Voice
FEBRUARY 2016|123456700000216|Busy|Average User
FEBRUARY 2016|123456700000217|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000218|Homebody|Average User
FEBRUARY 2016|123456700000219|Daily Grinder|High Voice
FEBRUARY 2016|123456700000220|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000221|Homebody|Average User
FEBRUARY 2016|123456700000222|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000223|Homebody|Big Data
FEBRUARY 2016|123456700000224|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000225|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000226|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000227|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000228|Busy|High Voice
FEBRUARY 2016|123456700000229|Homebody|Average User
FEBRUARY 2016|123456700000230|Homebody|Average User
FEBRUARY 2016|123456700000231|Delivering The Goods|Average User
FEBRUARY 2016|123456700000232|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000233|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000234|Night Shift|Big Data
FEBRUARY 2016|123456700000235|Night Shift|High Voice
FEBRUARY 2016|123456700000236|Night Shift|Average User
FEBRUARY 2016|123456700000237|Busy|Big Data
FEBRUARY 2016|123456700000238|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000239|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000240|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000241|Daily Grinder|Average User
FEBRUARY 2016|123456700000242|Busy|Average User
FEBRUARY 2016|123456700000243|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000244|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000245|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000246|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000247|Homebody|Big Data
FEBRUARY 2016|123456700000248|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000249|Busy|High Voice & SMS
FEBRUARY 2016|123456700000250|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000251|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000252|Busy|High Voice & SMS
FEBRUARY 2016|123456700000253|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000254|Delivering The Goods|Average User
FEBRUARY 2016|123456700000255|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000256|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000257|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000258|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000259|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000260|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000261|Busy|High Voice
FEBRUARY 2016|123456700000262|Homebody|High Voice
FEBRUARY 2016|123456700000263|Night Shift|Average User
FEBRUARY 2016|123456700000264|Homebody|Big Data
FEBRUARY 2016|123456700000265|Night Shift|Big Data
FEBRUARY 2016|123456700000266|Delivering The Goods|Average User
FEBRUARY 2016|123456700000267|Delivering The Goods|Average User
FEBRUARY 2016|123456700000268|Daily Grinder|Big Data
FEBRUARY 2016|123456700000269|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000270|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000271|Homebody|Big Data
FEBRUARY 2016|123456700000272|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000273|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000274|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000275|Daily Grinder|High Voice
FEBRUARY 2016|123456700000276|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000277|Busy|Big Data
FEBRUARY 2016|123456700000278|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000279|Homebody|Big Data
FEBRUARY 2016|123456700000280|Busy|High Voice
FEBRUARY 2016|123456700000281|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000282|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000283|Delivering The Goods|Average User
FEBRUARY 2016|123456700000284|Night Shift|High Voice
FEBRUARY 2016|123456700000285|Daily Grinder|Big Data
FEBRUARY 2016|123456700000286|Busy|Big Data
FEBRUARY 2016|123456700000287|Norm Peterson|High Voice
FEBRUARY 2016|123456700000288|Busy|Average User
FEBRUARY 2016|123456700000289|Busy|Average User
FEBRUARY 2016|123456700000290|Delivering The Goods|Average User
FEBRUARY 2016|123456700000291|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000292|Norm Peterson|Big Data
FEBRUARY 2016|123456700000293|Busy|Average User
FEBRUARY 2016|123456700000294|Homebody|High Voice
FEBRUARY 2016|123456700000295|Busy|Low Usage Overall
FEBRUARY 2016|123456700000296|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000297|Homebody|High Voice
FEBRUARY 2016|123456700000298|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000299|Delivering The Goods|Average User
FEBRUARY 2016|123456700000300|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000301|Night Shift|Big Data
FEBRUARY 2016|123456700000302|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000303|Busy|High Voice & SMS
FEBRUARY 2016|123456700000304|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000305|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000306|Norm Peterson|Average User
FEBRUARY 2016|123456700000307|Homebody|High Voice
FEBRUARY 2016|123456700000308|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000309|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000310|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000311|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000312|Busy|High Voice & SMS
FEBRUARY 2016|123456700000313|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000314|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000315|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000316|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000317|Daily Grinder|Big Data
FEBRUARY 2016|123456700000318|Night Shift|Big Data
FEBRUARY 2016|123456700000319|Delivering The Goods|Average User
FEBRUARY 2016|123456700000320|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000321|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000322|Delivering The Goods|Average User
FEBRUARY 2016|123456700000323|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000324|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000325|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000326|Daily Grinder|Average User
FEBRUARY 2016|123456700000327|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000328|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000329|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000330|Busy|Low Usage Overall
FEBRUARY 2016|123456700000331|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000332|Night Shift|Big Data
FEBRUARY 2016|123456700000333|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000334|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000335|Busy|High Voice & SMS
FEBRUARY 2016|123456700000336|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000337|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000338|Homebody|Average User
FEBRUARY 2016|123456700000339|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000340|Norm Peterson|High Voice
FEBRUARY 2016|123456700000341|Norm Peterson|Average User
FEBRUARY 2016|123456700000342|Busy|Big Data
FEBRUARY 2016|123456700000343|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000344|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000345|Night Shift|High Voice & SMS
FEBRUARY 2016|123456700000346|Daily Grinder|High Voice
FEBRUARY 2016|123456700000347|Busy|Low Usage Overall
FEBRUARY 2016|123456700000348|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000349|Busy|Low Usage Overall
FEBRUARY 2016|123456700000350|Busy|Big Data
FEBRUARY 2016|123456700000351|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000352|Delivering The Goods|Average User
FEBRUARY 2016|123456700000353|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000354|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000355|Homebody|Average User
FEBRUARY 2016|123456700000356|Busy|Big Data
FEBRUARY 2016|123456700000357|Night Shift|High Voice
FEBRUARY 2016|123456700000358|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000359|Busy|Average User
FEBRUARY 2016|123456700000360|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000361|Daily Grinder|Big Data
FEBRUARY 2016|123456700000362|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000363|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000364|Busy|High Voice
FEBRUARY 2016|123456700000365|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000366|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000367|Busy|Average User
FEBRUARY 2016|123456700000368|Norm Peterson|High Voice
FEBRUARY 2016|123456700000369|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000370|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000371|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000372|Homebody|High Voice
FEBRUARY 2016|123456700000373|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000374|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000375|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000376|Busy|Average User
FEBRUARY 2016|123456700000377|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000378|Night Shift|High Voice
FEBRUARY 2016|123456700000379|Busy|High Voice & SMS
FEBRUARY 2016|123456700000380|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000381|Busy|Average User
FEBRUARY 2016|123456700000382|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000383|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000384|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000385|Night Shift|High Voice
FEBRUARY 2016|123456700000386|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000387|Busy|Big Data
FEBRUARY 2016|123456700000388|Busy|Average User
FEBRUARY 2016|123456700000389|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000390|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000391|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000392|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000393|Homebody|Big Data
FEBRUARY 2016|123456700000394|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000395|Busy|Average User
FEBRUARY 2016|123456700000396|Norm Peterson|Average User
FEBRUARY 2016|123456700000397|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000398|Homebody|Average User
FEBRUARY 2016|123456700000399|Norm Peterson|Average User
FEBRUARY 2016|123456700000400|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000401|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000402|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000403|Homebody|Average User
FEBRUARY 2016|123456700000404|Daily Grinder|Average User
FEBRUARY 2016|123456700000405|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000406|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000407|Daily Grinder|High Voice
FEBRUARY 2016|123456700000408|Night Shift|Big Data
FEBRUARY 2016|123456700000409|Norm Peterson|High SMS - Low Data
FEBRUARY 2016|123456700000410|Daily Grinder|Average User
FEBRUARY 2016|123456700000411|Daily Grinder|Average User
FEBRUARY 2016|123456700000412|Delivering The Goods|Low Usage Overall
FEBRUARY 2016|123456700000413|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000414|Busy|High Voice
FEBRUARY 2016|123456700000415|Busy|High Voice
FEBRUARY 2016|123456700000416|Delivering The Goods|High SMS - Low Data
FEBRUARY 2016|123456700000417|Busy|High SMS - Low Data
FEBRUARY 2016|123456700000418|Night Shift|High Voice
FEBRUARY 2016|123456700000419|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000420|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000421|Homebody|High Voice & SMS
FEBRUARY 2016|123456700000422|Daily Grinder|Average User
FEBRUARY 2016|123456700000423|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000424|Daily Grinder|High SMS - Low Data
FEBRUARY 2016|123456700000425|Busy|Average User
FEBRUARY 2016|123456700000426|Delivering The Goods|High Voice & SMS
FEBRUARY 2016|123456700000427|Norm Peterson|High Voice & SMS
FEBRUARY 2016|123456700000428|Night Shift|Big Data
FEBRUARY 2016|123456700000429|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000430|Delivering The Goods|Big Data
FEBRUARY 2016|123456700000431|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000432|Night Shift|Big Data
FEBRUARY 2016|123456700000433|Homebody|Low Usage Overall
FEBRUARY 2016|123456700000434|Norm Peterson|Low Usage Overall
FEBRUARY 2016|123456700000435|Night Shift|High SMS - Low Data
FEBRUARY 2016|123456700000436|Homebody|Big Data
FEBRUARY 2016|123456700000437|Delivering The Goods|High Voice
FEBRUARY 2016|123456700000438|Daily Grinder|Big Data
FEBRUARY 2016|123456700000439|Night Shift|Low Usage Overall
FEBRUARY 2016|123456700000440|Homebody|Big Data
FEBRUARY 2016|123456700000441|Night Shift|Average User
FEBRUARY 2016|123456700000442|Daily Grinder|Low Usage Overall
FEBRUARY 2016|123456700000443|Busy|Low Usage Overall
FEBRUARY 2016|123456700000444|Daily Grinder|High Voice & SMS
FEBRUARY 2016|123456700000445|Homebody|High Voice
FEBRUARY 2016|123456700000446|Norm Peterson|Average User
FEBRUARY 2016|123456700000447|Homebody|High SMS - Low Data
FEBRUARY 2016|123456700000448|Daily Grinder|High Voice
FEBRUARY 2016|123456700000449|Homebody|High Voice
FEBRUARY 2016|123456700000450|Night Shift|High Voice
FEBRUARY 2016|123456700000451|Homebody|High Voice
